numinall,compound_key,Smiles,IC50/nM,pIC50,Label
1677,CHEMBL4562879,Cc1cc(-c2cnc3ccc(N[C@@H](C)c4ccc(F)cc4F)nn23)[nH]n1,0.1,10,1
1666,CHEMBL3678285,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(C(C)C)nc1,0.2,9.7,1
1667,CHEMBL3673479,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(C2CC2)nc1,0.2,9.7,1
1668,CHEMBL3678286,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(CC(F)(F)F)cc1,0.2,9.7,1
1669,CHEMBL3678284,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(SC(F)(F)F)cc1,0.2,9.7,1
1670,CHEMBL3678283,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(OC(F)(F)F)cc1,0.2,9.7,1
1671,CHEMBL3673478,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(C(F)(F)F)cc1,0.2,9.7,1
1672,CHEMBL3673477,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(C(F)(F)F)nc1,0.2,9.7,1
1673,CHEMBL3676026,COc1ncc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)NCCO)c2n1,0.2,9.7,1
1674,CHEMBL4555442,Cn1cc(-c2n[nH]c3ccc(NCc4cc(F)ccc4S(C)(=O)=O)cc23)cn1,0.2,9.7,1
1675,CHEMBL3678287,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1csc(C(F)(F)F)n1,0.2,9.7,1
1676,CHEMBL4462919,CS(=O)(=O)c1ccc(F)cc1CNc1ccc2[nH]nc(-c3cccnc3)c2c1,0.2,9.7,1
1679,Reaxys34704212,Cc1cccn2c(NC(=O)CN3c4ccccc4Oc4ccccc43)c(-c3ccccc3)nc12,0.2,9.7,1
1662,CHEMBL3673489,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(C(F)(F)C(F)(F)F)cc1,0.3,9.52,1
1663,CHEMBL457614,CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1,0.3,9.52,1
1664,CHEMBL4528647,CS(=O)(=O)c1ccc(F)cc1CNc1ccc2[nH]nc(-c3ccc(N4CCNCC4)nc3)c2c1,0.3,9.52,1
1665,CHEMBL3673452,COc1ccc(COc2ccc(Cn3c(N)nc4cc(-c5cnn(C)c5)cnc43)cc2OC)cc1,0.3,9.52,1
1659,CHEMBL3671153,O=C(NCCc1cnc[nH]1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.4,9.4,1
1660,CHEMBL3678300,COc1cc(C(C)n2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1ccc(C(F)(F)F)nc1,0.4,9.4,1
1681,Reaxys21180638,O=C(NCCc1c[nH]cn1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.4,9.4,1
1682,Reaxys12134721,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0.403,9.39,1
1658,CHEMBL3671135,O=C(N[C@H]1CC[C@H](O)CC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.45,9.35,1
1655,CHEMBL3671141,O=C(NC1CC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.5,9.3,1
1656,CHEMBL3673453,COc1ccc(COc2ccc(Cn3c(N)nc4cc(-c5ccc(P(C)(C)=O)nc5)cnc43)cc2OC)cc1,0.5,9.3,1
1657,CHEMBL3673480,COc1cc(Cn2c(N)nc3cc(-c4cnn(C)c4)cnc32)ccc1OCc1csc(C)n1,0.5,9.3,1
1654,CHEMBL3671142,O=C(NC1CCC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.55,9.26,1
1653,CHEMBL3675942,O=C(NOCC1CC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.57,9.24,1
1647,CHEMBL3675941,CONC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.6,9.22,1
1648,CHEMBL3675926,O=C(NC1CC1)c1cnn2ccc(N3CCCC3c3cc(F)ccc3CO)nc12,0.6,9.22,1
1649,CHEMBL3671148,O=C(NC1CCOCC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.6,9.22,1
1650,CHEMBL254895,Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N1CCN(C(=O)CN)CC1,0.6,9.22,1
1651,CHEMBL3673476,COc1ccc(COc2ccc(Cn3c(N)nc4cc(-c5cnn(C)c5)cnc43)cc2OC)cn1,0.6,9.22,1
1652,CHEMBL3671143,O=C(N[C@H]1CC2CCC1C2)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.6,9.22,1
1689,Reaxys21180538,COc1ccc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)NC3CC3)c2n1,0.6,9.22,1
1692,Reaxys40521706,C[C@@H]1Nc2ccn3ncc(c3n2)C(=O)NCC2(CF)Cc3cc(F)cc1c3O2,0.63,9.2,1
1693,Reaxys29519473,COCC[C@H]1C[C@@H](c2ccccc2)[C@H](NC(=O)Nc2c(C)c(C3=CCN(C(C)=O)CC3)nn2-c2ccccc2)C1,0.67,9.17,1
1646,CHEMBL3671472,Nc1ncc2c(C(=O)c3cncc(NC(=O)Cc4ccc(Cl)cn4)c3)cn(C34CC(C3)C4)c2n1,0.681,9.17,1
1643,CHEMBL3671130,O=C(Nc1ccccn1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.7,9.15,1
1644,CHEMBL3671129,CC(C)(C)NC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.7,9.15,1
1698,Reaxys29519314,Cc1c(-c2cnn(C)c2)nn(-c2ccccc2)c1NC(=O)N[C@@H]1CN(Cc2ccc(Cl)o2)C[C@H]1c1ccc(F)c(F)c1,0.71,9.15,1
1699,Reaxys29519441,COCC[C@H]1C[C@@H](c2ccc(F)c(F)c2)[C@H](NC(=O)Nc2c(C)c(-c3cnc(C)nc3)nn2-c2ccccc2)C1,0.73,9.14,1
1703,Reaxys35820713,CSc1ccc(F)cc1[C@H]1C[C@H](F)CN1c1ccc2ncc(C(=O)N[C@H]3CCN(Cc4cccc(O)c4)C3)n2n1,0.79,9.1,1
1642,CHEMBL3675918,CC(C)(CF)NC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.8,9.1,1
1701,Reaxys21969031,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12,0.8,9.1,1
1704,Reaxys40521712,C[C@@H]1Nc2ccn3nc(N)c(c3n2)C(=O)NC[C@@]2(C)Cc3cc(F)cc1c3O2,0.82,9.09,1
1641,CHEMBL3671469,Nc1ncc2c(C(=O)c3cncc(NC(=O)Cn4ccc(C(F)(F)F)n4)c3)cn(C34CC(C3)C4)c2n1,0.825,9.08,1
1636,CHEMBL3671144,O=C(NC1(CO)CC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.9,9.05,1
1638,CHEMBL4549659,CS(=O)(=O)Nc1ccccc1CNc1ccc2[nH]nc(-c3ccc(NC4CCNCC4)nc3)c2c1,0.9,9.05,1
1639,CHEMBL3673463,COc1cc(Cn2cnc3cc(-c4cnn(C5CCNCC5)c4)cnc32)ccc1OCc1ccc(C)nc1,0.9,9.05,1
1640,CHEMBL3676038,O=C(N[C@H]1CC[C@H](O)C1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12,0.9,9.05,1
1709,Reaxys35820786,CSc1ccc(F)cc1[C@H]1C[C@H](F)CN1c1ccc2ncc(C(=O)NCc3cccc(O)c3)n2n1,0.9,9.05,1
